epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1408.2,0.6355,1.21828,0.69246,1.04972,0.90695,0.84803,0.89253,0.74657,0.91108,0.84734,0.89389,0.72016,0.65749,1.10571,0.59221,1.06536,0.00064539,0.00064539,0.00064539
31,1455.63,0.62888,1.18502,0.674,1.03937,0.8646,0.82642,0.87781,0.72048,0.86234,0.82479,0.8755,0.69304,0.67905,1.1756,0.62411,1.07102,0.0006363,0.0006363,0.0006363
32,1501.94,0.63242,1.17238,0.67155,1.0449,0.87372,0.8711,0.90485,0.74479,0.85325,0.87897,0.90035,0.72277,0.67856,1.13664,0.61319,1.07819,0.00062721,0.00062721,0.00062721
33,1548.85,0.62736,1.16893,0.68001,1.03704,0.89391,0.85726,0.90977,0.76335,0.89219,0.85334,0.90661,0.72118,0.65127,1.14982,0.61919,1.05321,0.00061812,0.00061812,0.00061812
34,1596.16,0.624,1.12745,0.66507,1.04373,0.89499,0.7362,0.83732,0.70123,0.88319,0.72722,0.82851,0.67104,0.65676,1.1681,0.69554,1.05613,0.00060903,0.00060903,0.00060903
35,1643.58,0.60702,1.14486,0.63864,1.03224,0.90862,0.84456,0.90232,0.7536,0.90216,0.83794,0.89793,0.72282,0.63366,1.07715,0.57821,1.03235,0.00059994,0.00059994,0.00059994
36,1691.3,0.61812,1.16226,0.65509,1.03518,0.90471,0.86223,0.90468,0.76055,0.90191,0.85181,0.89964,0.7248,0.61941,1.10283,0.54567,1.0295,0.00059085,0.00059085,0.00059085
37,1737.89,0.58318,1.07453,0.6156,1.01531,0.89941,0.81639,0.885,0.74221,0.90617,0.7964,0.87756,0.70753,0.64952,1.27781,0.59108,1.06339,0.00058176,0.00058176,0.00058176
38,1785.07,0.62348,1.16865,0.65272,1.04101,0.88746,0.86883,0.91513,0.75908,0.87554,0.86037,0.90983,0.72567,0.64075,1.16486,0.55749,1.04079,0.00057267,0.00057267,0.00057267
39,1832,0.60092,1.1243,0.62155,1.02856,0.83731,0.89473,0.91248,0.75739,0.83427,0.89166,0.90609,0.71814,0.64835,1.1584,0.5689,1.05183,0.00056358,0.00056358,0.00056358
40,1878.53,0.6048,1.09944,0.60823,1.01903,0.89169,0.88243,0.91813,0.76723,0.88073,0.87272,0.90905,0.72905,0.63158,1.06725,0.54739,1.04062,0.00055449,0.00055449,0.00055449
41,1926.48,0.60173,1.10674,0.62507,1.02437,0.92327,0.86811,0.92273,0.77521,0.92219,0.86754,0.91849,0.73822,0.63617,1.07566,0.51978,1.04653,0.0005454,0.0005454,0.0005454
42,1972.95,0.59308,1.09495,0.62033,1.01842,0.93212,0.87748,0.92653,0.77755,0.9292,0.87462,0.92415,0.74064,0.62455,1.11949,0.52723,1.05216,0.00053631,0.00053631,0.00053631
